,maxMemory,num_interactions,popSize,prop_CM,proportionA,proportionB
0,999,2200,100,0.2,1.0,0.0
0,999,1600,100,0.21,1.0,0.0
0,999,1700,100,0.22,1.0,0.0
0,999,1700,100,0.23,1.0,0.0
0,999,1700,100,0.24,1.0,0.0
0,999,1300,100,0.25,1.0,0.0
0,999,1100,100,0.26,1.0,0.0
0,999,1400,100,0.27,1.0,0.0
0,999,1300,100,0.28,1.0,0.0
0,999,1300,100,0.29,1.0,0.0
0,999,1100,100,0.3,1.0,0.0
0,999,10001,100,0.05,0.11,0.89
0,999,10001,100,0.06,0.18,0.82
0,999,10001,100,0.07,0.18,0.82
0,999,10001,100,0.08,0.13,0.87
0,999,6700,100,0.09,1.0,0.0
0,999,2900,100,0.1,1.0,0.0
0,999,10000,100,0.11,1.0,0.0
0,999,3300,100,0.12,1.0,0.0
0,999,3000,100,0.13,1.0,0.0
0,999,2200,100,0.14,1.0,0.0
0,999,2500,100,0.15,1.0,0.0
0,999,1800,100,0.16,1.0,0.0
